Specimen Tag ,Sex,State,County,Subspecies,Latitude ,Longitude ,SVL1,SVL2,SVL_Ave,Headwidth1,Headwidth2,Headwidth_Ave,Headlength1,Headlength2,Headlength_Ave,Right_Tibulafibula1,Right_Tibulafibula2,Tibulafibula_Ave,Right_Femur1,Right_Femur2,Femur_Ave,Right_Tarsus1,Right_Tarsus2,Tarsus_Ave,Right_Radioulna1,Right_Radioulna2,Radioulna_Ave,Right_Nostril_Lip1,Right_Nostril_Lip2,Nostril_Lip_Ave,Internarial1,Internarial2,Internarial_Ave,EAD1,EAD2,EAD_Ave,Interorbital1,Interorbital2,Interoribital_Ave,EPD1,EPD2,EPD_Ave,Right_Tympanum1,Right_Tympanum2,Tympanum_Ave,Spots,Notes,,,
OMNH 50048,M,Oklahoma,Atoka,Southern,34.26403972,-95.93611291,80.7,81.1,80.9,26.6,26.5,26.55,19.7,20.1,19.9,36.3,36.3,36.3,33.5,33.7,33.6,18.7,18.5,18.6,13.8,13.5,13.65,5.8,5.5,5.65,7,7,7,11.6,11.9,11.75,3,3.1,3.05,18,18.4,18.2,6.5,6.2,6.35,32,,,,
OMNH 39826,F ,Oklahoma,Atoka,Southern,34.23182,-95.98751,71.4,72,71.7,25.3,25.5,25.4,19.1,19.3,19.2,36.2,36.1,36.15,35.1,35.3,35.2,17.2,17.4,17.3,15.1,14.9,15,5,5.2,5.1,5.5,5.9,5.7,10.8,10.8,10.8,3.2,3.3,3.25,16.4,16.3,16.35,6.2,6.4,6.3,25,pickerel hybrid,,,
OMNH 42021,F,Oklahoma,Atoka,Southern,34.54244,-95.94116,78.3,78.2,78.25,28.2,27.7,27.95,21.4,21.3,21.35,39.8,39.6,39.7,38.5,38.4,38.45,21.6,21.5,21.55,14.5,14.4,14.45,6.2,5.9,6.05,6,5.5,5.75,10.5,10.7,10.6,3.1,3.2,3.15,18.8,18.5,18.65,7.3,7,7.15,33,,,,
OMNH 42024,F,Oklahoma,Atoka,Southern,34.54244,-95.94116,64.3,64,64.15,22.5,22.8,22.65,18.5,18.2,18.35,33.2,33.5,33.35,32.4,32.5,32.45,18.5,17.8,18.15,11.6,11.8,11.7,4.9,4.6,4.75,4.3,4.5,4.4,10.2,10,10.1,2.5,2.4,2.45,14.8,14.6,14.7,5.9,5.5,5.7,25,,,,
OMNH 50018,F ,Oklahoma,Atoka,Southern,34.54119,-95.94151,74.5,74.1,74.3,25.6,25.5,25.55,20.2,20.6,20.4,37.3,37.5,37.4,36.6,36.9,36.75,20.1,19.9,20,13.8,13.3,13.55,6,5.9,5.95,6.4,6.1,6.25,11,11.2,11.1,4,3.9,3.95,17.4,17.1,17.25,6.1,6,6.05,22,pickerel hybrid,,,
OMNH 50020,M,Oklahoma,Atoka,Southern,34.54119,-95.94151,66.9,66.8,66.85,23.2,23.2,23.2,20,19.8,19.9,36.1,36.1,36.1,32.2,32.6,32.4,19.2,19.1,19.15,12.8,12.5,12.65,5.1,4.8,4.95,6,6.1,6.05,9.5,9.6,9.55,3.1,3.3,3.2,15.5,14.9,15.2,6.1,6,6.05,21, leopard hybrid,,,
UTA A27561,F,Texas,Austin,Southern,29.763942,-96.193271,66.2,66,66.1,23.2,22.9,23.05,19.2,20.1,19.65,33.1,33.3,33.2,28.2,28.2,28.2,18.6,18.1,18.35,12.5,12.3,12.4,4.6,4.4,4.5,5.3,5.3,5.3,9.5,9.4,9.45,2.8,3,2.9,14.6,14.5,14.55,5.5,5.7,5.6,23,,,,
JBL 51,M,Arkansas,Bradley,Southern,33.359749,-92.170315,75.4,75.6,75.5,26.7,26.6,26.65,18.7,18.4,18.55,37.9,37.6,37.75,34,34.3,34.15,21,21,21,16,15.7,15.85,5.3,5,5.15,5.2,5.3,5.25,11.2,11,11.1,3,3.2,3.1,18.3,17.9,18.1,7.9,7.6,7.75,34,,,,
OMNH 43585,F,Oklahoma,Bryan,Southern,33.97042,-96.37318,92.5,92.7,92.6,29.6,29.5,29.55,23.7,23.5,23.6,42.8,43,42.9,40,39.8,39.9,21.3,21.5,21.4,16.2,16.1,16.15,6.5,6.7,6.6,8.3,7.9,8.1,13.9,13.5,13.7,4.5,4.2,4.35,21.2,21,21.1,8.2,7.8,8,42,,,,
HJH 39,F,Arkansas,Chicot,Southern,33.183793,-91.343636,92.1,91.8,91.95,35.2,35,35.1,25.9,25.6,25.75,41.9,41.5,41.7,38,38.1,38.05,24.6,24.2,24.4,14.6,15.1,14.85,6.8,6.9,6.85,7.4,6.8,7.1,14.3,14,14.15,4.9,5,4.95,22,21.5,21.75,8.5,8.2,8.35,26,,,,
