,Specimen.Tag,Sex,State,County,Subspecies,Latitude,Longitude,SVL1,SVL2,SVL_Ave,annual_temp,temp_seasonality,annual_rainfall,rainfall_seasonality,days_above_10,days_above_5,Site,county_site
1,OMNH 50048,M,Oklahoma,Atoka,Southern,34.26403972,-95.93611291,80.7,81.1,80.9,16.60416603,851.1685791,1094,139,267,356,Site_32,Site_1
2,OMNH 39826,F,Oklahoma,Atoka,Southern,34.23182,-95.98751,71.4,72,71.7,16.61366653,848.3372192,1086,139,268,365,Site_31,Site_1
3,OMNH 42021,F,Oklahoma,Atoka,Southern,34.54244,-95.94116,78.3,78.2,78.25,16.10433388,844.911438,1130,151,260,325,Site_34,Site_1
4,OMNH 42024,F,Oklahoma,Atoka,Southern,34.54244,-95.94116,64.3,64,64.15,16.10433388,844.911438,1130,151,260,325,Site_34,Site_1
5,OMNH 50018,F,Oklahoma,Atoka,Southern,34.54119,-95.94151,74.5,74.1,74.3,16.06599998,840.7938843,1130,150,260,325,Site_33,Site_1
6,OMNH 50020,M,Oklahoma,Atoka,Southern,34.54119,-95.94151,66.9,66.8,66.85,16.06599998,840.7938843,1130,150,260,325,Site_33,Site_1
7,UTA A27561,F,Texas,Austin,Southern,29.763942,-96.193271,66.2,66,66.1,20.11883354,679.2007446,1041,125,365,365,Site_2,Site_2
8,JBL 51,M,Arkansas,Bradley,Southern,33.359749,-92.170315,75.4,75.6,75.5,16.94366646,788.7475586,1366,141,279,365,Site_20,Site_3
9,OMNH 43585,F,Oklahoma,Bryan,Southern,33.97042,-96.37318,92.5,92.7,92.6,16.89133263,852.0620117,1054,140,269,365,Site_28,Site_4
10,HJH 39,F,Arkansas,Chicot,Southern,33.183793,-91.343636,92.1,91.8,91.95,17.72850037,796.428772,1370,148,281,365,Site_19,Site_6
11,OMNH 21873,M,Oklahoma,Choctaw,Southern,34.02840805,-95.30993652,82.4,81.5,81.95,16.58233261,832.87323,1200,154,268,365,Site_30,Site_7
12,OMNH 21870,F,Oklahoma,Choctaw,Southern,34.02840805,-95.30993652,75.5,74.8,75.15,16.58233261,832.87323,1200,154,268,365,Site_30,Site_7
13,OMNH 21871,M,Oklahoma,Choctaw,Southern,34.02840805,-95.30993652,76.1,76,76.05,16.58233261,832.87323,1200,154,268,365,Site_30,Site_7
14,OMNH 50027,M,Oklahoma,Coal,Southern,34.60934,-96.35322,86.6,87,86.8,16.39233398,863.5504761,1041,139,264,335,Site_36,Site_8
15,OMNH 50037,M,Oklahoma,Coal,Southern,34.60873598,-96.33520371,75.3,75.9,75.6,16.39233398,863.5504761,1041,139,264,335,Site_35,Site_8
16,UTA A27562,M,Texas,Colorado,Southern,29.67743,-96.259484,80.6,80.6,80.6,20.09566689,675.0065918,1046,128,365,365,Site_1,Site_10
17,OMNH 48043,F,Oklahoma,Delaware,Northern,36.20518494,-94.77973175,75.2,75.5,75.35,14.52833366,867.4240112,1153,134,242,297,Site_51,Site_12
18,OMNH 48042,M,Oklahoma,Delaware,Northern,36.20518494,-94.77973175,87.2,87,87.1,14.52833366,867.4240112,1153,134,242,297,Site_51,Site_12
19,OMNH 48041,M,Oklahoma,Delaware,Northern,36.20518494,-94.77973175,83.5,83.5,83.5,14.52833366,867.4240112,1153,134,242,297,Site_51,Site_12
20,OMNH 26313,M,Oklahoma,Delaware,Northern,36.20518494,-94.77973175,82.5,82,82.25,14.52833366,867.4240112,1153,134,242,297,Site_51,Site_12
21,UTA A60580,F,Texas,Delta,Southern,33.398853,-95.635749,95.1,95,95.05,17.3706665,821.4595947,1125,140,275,365,Site_21,Site_13
22,UTA A23,M,Texas ,Henderson,Southern,32.199236,-95.856381,73.8,73.9,73.85,18.49116707,760.3686523,1046,126,289,365,Site_10,Site_15
23,UTA A294,M,Texas ,Henderson,Southern,32.201573,-96.007588,78.1,78.1,78.1,18.43566704,758.0859375,1021,125,291,365,Site_11,Site_15
24,UTA A62657,F,Texas,Hopkins,Southern,33.183646,-95.538803,90.1,90.1,90.1,17.42333412,804.2247925,1129,134,275,365,Site_18,Site_16
25,UTA A63547,M,Texas,Hopkins,Southern,33.11811,-95.675446,84,84.2,84.1,17.41766739,803.2503662,1137,139,275,365,Site_17,Site_16
26,OMNH 38156,F,Oklahoma,Hughes,Southern,34.82512,-96.24915,87.2,87.5,87.35,16.05733299,864.432251,1070,144,260,324,Site_38,Site_17
27,UTA A32847,F,Texas,Hunt,Southern,33.116039,-96.049212,84,84,84,17.6079998,814.5630493,1096,139,275,365,Site_16,Site_18
28,UTA A7236,M,Texas,Jasper,Southern,30.469472,-93.995689,67.2,67.2,67.2,19.33250046,674.8413696,1406,145,365,365,Site_3,Site_20
29,UTA A1241,M,Missouri,Johnson,Northern,38.696321,-93.788677,81.9,81.9,81.9,12.41049957,1000.785034,1028,123,221,266,Site_75,Site_21
30,UTA A13589,F,Texas,Kaufman,Southern,32.58379,-96.277148,68.9,68.8,68.85,18.16033363,801.8352661,993,125,284,365,Site_15,Site_22
31,UTA A13586,F,Texas,Kaufman,Southern,32.58379,-96.277148,78.6,78.2,78.4,18.16033363,801.8352661,993,125,284,365,Site_15,Site_22
32,UTA A13587,M,Texas,Kaufman,Southern,32.58379,-96.277148,74.6,74.5,74.55,18.16033363,801.8352661,993,125,284,365,Site_15,Site_22
33,UTA A26771,M,Texas,Kaufman,Southern,32.58379,-96.277148,74.6,73.8,74.2,18.16033363,801.8352661,993,125,284,365,Site_15,Site_22
34,UTA A61229,M,Texas,Lamar,Southern,33.62858,-95.578825,86.4,86,86.2,17.08550072,826.9933472,1160,146,271,365,Site_23,Site_23
35,UTA A60581,F,Texas,Lamar,Southern,33.62858,-95.578825,84.2,84.5,84.35,17.08550072,826.9933472,1160,146,271,365,Site_23,Site_23
36,UTA A58570,M,Texas,Lamar,Southern,33.62858,-95.578825,77.9,77.9,77.9,17.08550072,826.9933472,1160,146,271,365,Site_23,Site_23
37,UTA A58571,M,Texas,Lamar,Southern,33.62858,-95.578825,76.1,75.9,76,17.08550072,826.9933472,1160,146,271,365,Site_23,Site_23
38,UTA A58569,M,Texas,Lamar,Southern,33.62858,-95.578825,81.6,81.5,81.55,17.08550072,826.9933472,1160,146,271,365,Site_23,Site_23
39,OMNH 50033,F,Oklahoma,Latimer,Southern,34.72406583,-95.16247292,85.3,85.1,85.2,15.88416672,821.0534668,1258,169,258,321,Site_37,Site_24
40,OMNH 43867,F,Oklahoma,McCurtain,Southern,33.89570999,-94.78941345,82.2,82.4,82.3,16.67449951,819.197937,1245,152,271,365,Site_27,Site_28
41,OMNH 43870,M,Oklahoma,McCurtain,Southern,33.98312,-94.80985,74.2,73.8,74,16.57666588,820.7835083,1251,156,271,365,Site_29,Site_28
42,OMNH 43869,M,Oklahoma,McCurtain,Southern,33.98312,-94.80985,69.1,69.3,69.2,16.57666588,820.7835083,1251,156,271,365,Site_29,Site_28
43,OMNH 50093,F,Oklahoma,McCurtain,Southern,33.83757,-94.66156,86.2,86.3,86.25,16.53899956,812.4910889,1262,151,271,365,Site_24,Site_28
